Language,City,Total Shows,Total Seats,Booked Seats,Occupancy (%),Booked Collection (₹),Total Collection (₹),Avg Ticket Price (₹)
"Tamil","Bengaluru","567","188735","54278","28.76%","19068265.00","67789950.00","359.18"
"Tamil","Mysore","45","14158","2707","19.12%","832900.00","4026375.00","284.39"
"Tamil","Hubli","6","1354","135","9.97%","32420.00","315653.33","233.13"
"Tamil","Mangalore","0","0","0","0.00%","0.00","0.00","0.00"
"Tamil","Belagavi","2","622","45","7.23%","10830.00","153900.00","247.43"
"Tamil","Kalaburagi","0","0","0","0.00%","0.00","0.00","0.00"
"Tamil","Shivamogga","0","0","0","0.00%","0.00","0.00","0.00"
"Tamil","Tumkur","5","1460","375","25.68%","106500.00","475000.00","325.34"
"Tamil","Davangere","2","1390","47","3.38%","8900.00","243250.00","175.00"
"Tamil","Raichur","0","0","0","0.00%","0.00","0.00","0.00"
